Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
Record,Time,Function,Reading,Range,Unit
87,3/10/2021 12:27:03.821,Temperature {NONE},93.4, °C,°C
88,3/10/2021 12:27:04.823,Temperature {NONE},93.4, °C,°C
89,3/10/2021 12:27:05.824,Temperature {NONE},93.4, °C,°C
90,3/10/2021 12:27:06.825,Temperature {NONE},93.3, °C,°C
91,3/10/2021 12:27:07.826,Temperature {NONE},93.3, °C,°C
92,3/10/2021 12:27:08.828,Temperature {NONE},93.3, °C,°C
93,3/10/2021 12:27:09.829,Temperature {NONE},93.3, °C,°C
94,3/10/2021 12:27:10.831,Temperature {NONE},93.2, °C,°C
95,3/10/2021 12:27:11.831,Temperature {NONE},93.2, °C,°C
96,3/10/2021 12:27:12.833,Temperature {NONE},93.2, °C,°C
97,3/10/2021 12:27:13.834,Temperature {NONE},93.2, °C,°C
98,3/10/2021 12:27:14.835,Temperature {NONE},93.2, °C,°C
99,3/10/2021 12:27:15.836,Temperature {NONE},93.2, °C,°C
100,3/10/2021 12:27:16.838,Temperature {NONE},93.3, °C,°C
101,3/10/2021 12:27:17.840,Temperature {NONE},93.3, °C,°C
102,3/10/2021 12:27:18.842,Temperature {NONE},93.3, °C,°C
103,3/10/2021 12:27:19.843,Temperature {NONE},93.2, °C,°C
104,3/10/2021 12:27:20.844,Temperature {NONE},93.1, °C,°C
105,3/10/2021 12:27:21.846,Temperature {NONE},93.1, °C,°C
106,3/10/2021 12:27:22.847,Temperature {NONE},93.0, °C,°C
107,3/10/2021 12:27:23.848,Temperature {NONE},92.9, °C,°C
108,3/10/2021 12:27:24.850,Temperature {NONE},92.8, °C,°C
109,3/10/2021 12:27:25.851,Temperature {NONE},92.8, °C,°C
110,3/10/2021 12:27:26.853,Temperature {NONE},92.8, °C,°C
111,3/10/2021 12:27:27.854,Temperature {NONE},92.8, °C,°C
112,3/10/2021 12:27:28.855,Temperature {NONE},92.7, °C,°C
113,3/10/2021 12:27:29.856,Temperature {NONE},92.7, °C,°C
114,3/10/2021 12:27:30.858,Temperature {NONE},92.7, °C,°C
115,3/10/2021 12:27:31.859,Temperature {NONE},92.6, °C,°C
116,3/10/2021 12:27:32.860,Temperature {NONE},92.5, °C,°C
117,3/10/2021 12:27:33.861,Temperature {NONE},92.5, °C,°C
118,3/10/2021 12:27:34.862,Temperature {NONE},92.4, °C,°C
119,3/10/2021 12:27:35.862,Temperature {NONE},92.4, °C,°C
120,3/10/2021 12:27:36.863,Temperature {NONE},92.5, °C,°C
121,3/10/2021 12:27:37.863,Temperature {NONE},92.5, °C,°C
122,3/10/2021 12:27:38.865,Temperature {NONE},92.5, °C,°C
123,3/10/2021 12:27:39.867,Temperature {NONE},92.6, °C,°C
124,3/10/2021 12:27:40.869,Temperature {NONE},92.6, °C,°C
125,3/10/2021 12:27:41.870,Temperature {NONE},92.6, °C,°C
126,3/10/2021 12:27:42.871,Temperature {NONE},92.5, °C,°C
127,3/10/2021 12:27:43.872,Temperature {NONE},92.5, °C,°C
128,3/10/2021 12:27:44.873,Temperature {NONE},92.4, °C,°C
129,3/10/2021 12:27:45.873,Temperature {NONE},92.4, °C,°C
130,3/10/2021 12:27:46.874,Temperature {NONE},92.3, °C,°C
131,3/10/2021 12:27:47.874,Temperature {NONE},92.3, °C,°C
132,3/10/2021 12:27:48.876,Temperature {NONE},92.3, °C,°C
133,3/10/2021 12:27:49.877,Temperature {NONE},92.3, °C,°C
134,3/10/2021 12:27:50.879,Temperature {NONE},92.3, °C,°C
135,3/10/2021 12:27:51.881,Temperature {NONE},92.2, °C,°C
136,3/10/2021 12:27:52.882,Temperature {NONE},92.2, °C,°C
137,3/10/2021 12:27:53.884,Temperature {NONE},92.2, °C,°C
138,3/10/2021 12:27:54.885,Temperature {NONE},92.2, °C,°C
139,3/10/2021 12:27:55.886,Temperature {NONE},92.2, °C,°C
140,3/10/2021 12:27:56.887,Temperature {NONE},92.2, °C,°C
141,3/10/2021 12:27:57.889,Temperature {NONE},92.2, °C,°C
142,3/10/2021 12:27:58.891,Temperature {NONE},92.1, °C,°C
143,3/10/2021 12:27:59.892,Temperature {NONE},92.1, °C,°C
144,3/10/2021 12:28:00.893,Temperature {NONE},92.1, °C,°C
145,3/10/2021 12:28:01.893,Temperature {NONE},92.1, °C,°C
146,3/10/2021 12:28:02.895,Temperature {NONE},92.1, °C,°C
147,3/10/2021 12:28:03.896,Temperature {NONE},92.0, °C,°C
148,3/10/2021 12:28:04.897,Temperature {NONE},92.0, °C,°C
149,3/10/2021 12:28:05.899,Temperature {NONE},92.0, °C,°C
150,3/10/2021 12:28:06.900,Temperature {NONE},92.0, °C,°C
151,3/10/2021 12:28:07.901,Temperature {NONE},92.0, °C,°C
152,3/10/2021 12:28:08.902,Temperature {NONE},91.9, °C,°C
153,3/10/2021 12:28:09.903,Temperature {NONE},92.0, °C,°C
154,3/10/2021 12:28:10.904,Temperature {NONE},91.9, °C,°C
155,3/10/2021 12:28:11.906,Temperature {NONE},91.9, °C,°C
156,3/10/2021 12:28:12.907,Temperature {NONE},91.8, °C,°C
157,3/10/2021 12:28:13.908,Temperature {NONE},91.8, °C,°C
158,3/10/2021 12:28:14.909,Temperature {NONE},91.8, °C,°C
159,3/10/2021 12:28:15.911,Temperature {NONE},91.7, °C,°C
160,3/10/2021 12:28:16.912,Temperature {NONE},91.8, °C,°C
161,3/10/2021 12:28:17.913,Temperature {NONE},91.8, °C,°C
162,3/10/2021 12:28:18.914,Temperature {NONE},91.8, °C,°C
163,3/10/2021 12:28:19.914,Temperature {NONE},91.7, °C,°C
164,3/10/2021 12:28:20.915,Temperature {NONE},91.7, °C,°C
165,3/10/2021 12:28:21.916,Temperature {NONE},91.7, °C,°C
166,3/10/2021 12:28:22.916,Temperature {NONE},91.7, °C,°C
167,3/10/2021 12:28:23.918,Temperature {NONE},91.7, °C,°C
168,3/10/2021 12:28:24.919,Temperature {NONE},91.7, °C,°C
169,3/10/2021 12:28:25.921,Temperature {NONE},91.7, °C,°C
170,3/10/2021 12:28:26.922,Temperature {NONE},91.7, °C,°C
171,3/10/2021 12:28:27.924,Temperature {NONE},91.7, °C,°C
172,3/10/2021 12:28:28.925,Temperature {NONE},91.6, °C,°C
173,3/10/2021 12:28:29.926,Temperature {NONE},91.6, °C,°C
174,3/10/2021 12:28:30.927,Temperature {NONE},91.6, °C,°C
175,3/10/2021 12:28:31.928,Temperature {NONE},91.6, °C,°C
176,3/10/2021 12:28:32.929,Temperature {NONE},91.5, °C,°C
177,3/10/2021 12:28:33.930,Temperature {NONE},91.5, °C,°C
178,3/10/2021 12:28:34.932,Temperature {NONE},91.5, °C,°C
179,3/10/2021 12:28:35.932,Temperature {NONE},91.5, °C,°C
180,3/10/2021 12:28:36.933,Temperature {NONE},91.5, °C,°C
181,3/10/2021 12:28:37.934,Temperature {NONE},91.5, °C,°C
182,3/10/2021 12:28:38.935,Temperature {NONE},91.5, °C,°C
183,3/10/2021 12:28:39.937,Temperature {NONE},91.3, °C,°C
184,3/10/2021 12:28:40.938,Temperature {NONE},91.3, °C,°C
185,3/10/2021 12:28:41.940,Temperature {NONE},91.3, °C,°C
186,3/10/2021 12:28:42.941,Temperature {NONE},91.2, °C,°C
187,3/10/2021 12:28:43.942,Temperature {NONE},91.1, °C,°C
188,3/10/2021 12:28:44.943,Temperature {NONE},91.1, °C,°C
189,3/10/2021 12:28:45.944,Temperature {NONE},91.0, °C,°C
190,3/10/2021 12:28:46.946,Temperature {NONE},91.0, °C,°C
191,3/10/2021 12:28:47.948,Temperature {NONE},91.1, °C,°C
192,3/10/2021 12:28:48.949,Temperature {NONE},91.1, °C,°C
