Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
 Record,Time,Function,Reading,Range,Unit
1361,3/10/2021 13:00:20.025,Temperature {NONE},67.6, °C,°C
1362,3/10/2021 13:00:21.026,Temperature {NONE},67.6, °C,°C
1363,3/10/2021 13:00:22.027,Temperature {NONE},67.5, °C,°C
1364,3/10/2021 13:00:23.027,Temperature {NONE},67.5, °C,°C
1365,3/10/2021 13:00:24.028,Temperature {NONE},67.6, °C,°C
1366,3/10/2021 13:00:25.029,Temperature {NONE},67.6, °C,°C
1367,3/10/2021 13:00:26.030,Temperature {NONE},67.6, °C,°C
1368,3/10/2021 13:00:27.031,Temperature {NONE},67.6, °C,°C
1369,3/10/2021 13:00:28.031,Temperature {NONE},67.5, °C,°C
1370,3/10/2021 13:00:29.032,Temperature {NONE},67.6, °C,°C
1371,3/10/2021 13:00:30.033,Temperature {NONE},67.6, °C,°C
1372,3/10/2021 13:00:31.034,Temperature {NONE},67.5, °C,°C
1373,3/10/2021 13:00:32.036,Temperature {NONE},67.5, °C,°C
1374,3/10/2021 13:00:33.037,Temperature {NONE},67.5, °C,°C
1375,3/10/2021 13:00:34.038,Temperature {NONE},67.5, °C,°C
1376,3/10/2021 13:00:35.039,Temperature {NONE},67.5, °C,°C
1377,3/10/2021 13:00:36.039,Temperature {NONE},67.6, °C,°C
1378,3/10/2021 13:00:37.040,Temperature {NONE},67.5, °C,°C
1379,3/10/2021 13:00:38.041,Temperature {NONE},67.5, °C,°C
1380,3/10/2021 13:00:39.042,Temperature {NONE},67.5, °C,°C
1381,3/10/2021 13:00:40.043,Temperature {NONE},67.5, °C,°C
1382,3/10/2021 13:00:41.044,Temperature {NONE},67.5, °C,°C
1383,3/10/2021 13:00:42.045,Temperature {NONE},67.5, °C,°C
1384,3/10/2021 13:00:43.046,Temperature {NONE},67.4, °C,°C
1385,3/10/2021 13:00:44.046,Temperature {NONE},67.4, °C,°C
1386,3/10/2021 13:00:45.048,Temperature {NONE},67.4, °C,°C
1387,3/10/2021 13:00:46.049,Temperature {NONE},67.3, °C,°C
1388,3/10/2021 13:00:47.049,Temperature {NONE},67.3, °C,°C
1389,3/10/2021 13:00:48.051,Temperature {NONE},67.4, °C,°C
1390,3/10/2021 13:00:49.052,Temperature {NONE},67.4, °C,°C
1391,3/10/2021 13:00:50.053,Temperature {NONE},67.5, °C,°C
1392,3/10/2021 13:00:51.054,Temperature {NONE},67.5, °C,°C
1393,3/10/2021 13:00:52.055,Temperature {NONE},67.5, °C,°C
1394,3/10/2021 13:00:53.056,Temperature {NONE},67.5, °C,°C
1395,3/10/2021 13:00:54.058,Temperature {NONE},67.5, °C,°C
1396,3/10/2021 13:00:55.059,Temperature {NONE},67.4, °C,°C
1397,3/10/2021 13:00:56.060,Temperature {NONE},67.4, °C,°C
1398,3/10/2021 13:00:57.061,Temperature {NONE},67.3, °C,°C
1399,3/10/2021 13:00:58.062,Temperature {NONE},67.2, °C,°C
1400,3/10/2021 13:00:59.062,Temperature {NONE},67.2, °C,°C
1401,3/10/2021 13:01:00.064,Temperature {NONE},67.2, °C,°C
1402,3/10/2021 13:01:01.065,Temperature {NONE},67.3, °C,°C
1403,3/10/2021 13:01:02.066,Temperature {NONE},67.3, °C,°C
1404,3/10/2021 13:01:03.066,Temperature {NONE},67.3, °C,°C
1405,3/10/2021 13:01:04.067,Temperature {NONE},67.3, °C,°C
1406,3/10/2021 13:01:05.068,Temperature {NONE},67.3, °C,°C
1407,3/10/2021 13:01:06.070,Temperature {NONE},67.3, °C,°C
1408,3/10/2021 13:01:07.071,Temperature {NONE},67.3, °C,°C
1409,3/10/2021 13:01:08.072,Temperature {NONE},67.3, °C,°C
1410,3/10/2021 13:01:09.073,Temperature {NONE},67.3, °C,°C
1411,3/10/2021 13:01:10.074,Temperature {NONE},67.3, °C,°C
1412,3/10/2021 13:01:11.075,Temperature {NONE},67.3, °C,°C
1413,3/10/2021 13:01:12.076,Temperature {NONE},67.3, °C,°C
1414,3/10/2021 13:01:13.077,Temperature {NONE},67.3, °C,°C
1415,3/10/2021 13:01:14.078,Temperature {NONE},67.3, °C,°C
1416,3/10/2021 13:01:15.079,Temperature {NONE},67.3, °C,°C
1417,3/10/2021 13:01:16.079,Temperature {NONE},67.3, °C,°C
1418,3/10/2021 13:01:17.080,Temperature {NONE},67.2, °C,°C
1419,3/10/2021 13:01:18.081,Temperature {NONE},67.2, °C,°C
1420,3/10/2021 13:01:19.082,Temperature {NONE},67.1, °C,°C
1421,3/10/2021 13:01:20.084,Temperature {NONE},67.1, °C,°C
1422,3/10/2021 13:01:21.085,Temperature {NONE},67.2, °C,°C
1423,3/10/2021 13:01:22.086,Temperature {NONE},67.1, °C,°C
1424,3/10/2021 13:01:23.086,Temperature {NONE},67.0, °C,°C
1425,3/10/2021 13:01:24.087,Temperature {NONE},67.0, °C,°C
1426,3/10/2021 13:01:25.088,Temperature {NONE},67.0, °C,°C
1427,3/10/2021 13:01:26.088,Temperature {NONE},67.0, °C,°C
1428,3/10/2021 13:01:27.088,Temperature {NONE},67.0, °C,°C
1429,3/10/2021 13:01:28.090,Temperature {NONE},66.9, °C,°C
1430,3/10/2021 13:01:29.091,Temperature {NONE},66.9, °C,°C
1431,3/10/2021 13:01:30.093,Temperature {NONE},66.9, °C,°C
1432,3/10/2021 13:01:31.093,Temperature {NONE},66.9, °C,°C
1433,3/10/2021 13:01:32.094,Temperature {NONE},66.9, °C,°C
1434,3/10/2021 13:01:33.095,Temperature {NONE},66.9, °C,°C
1435,3/10/2021 13:01:34.097,Temperature {NONE},66.9, °C,°C
1436,3/10/2021 13:01:35.098,Temperature {NONE},66.9, °C,°C
1437,3/10/2021 13:01:36.099,Temperature {NONE},67.0, °C,°C
1438,3/10/2021 13:01:37.100,Temperature {NONE},67.0, °C,°C
1439,3/10/2021 13:01:38.101,Temperature {NONE},67.1, °C,°C
1440,3/10/2021 13:01:39.102,Temperature {NONE},67.1, °C,°C
1441,3/10/2021 13:01:40.103,Temperature {NONE},67.1, °C,°C
1442,3/10/2021 13:01:41.104,Temperature {NONE},67.1, °C,°C
1443,3/10/2021 13:01:42.105,Temperature {NONE},67.1, °C,°C
1444,3/10/2021 13:01:43.105,Temperature {NONE},67.1, °C,°C
1445,3/10/2021 13:01:44.107,Temperature {NONE},67.1, °C,°C
1446,3/10/2021 13:01:45.108,Temperature {NONE},67.1, °C,°C
1447,3/10/2021 13:01:46.109,Temperature {NONE},67.1, °C,°C
1448,3/10/2021 13:01:47.110,Temperature {NONE},67.1, °C,°C
1449,3/10/2021 13:01:48.111,Temperature {NONE},67.0, °C,°C
1450,3/10/2021 13:01:49.112,Temperature {NONE},67.0, °C,°C
1451,3/10/2021 13:01:50.113,Temperature {NONE},67.0, °C,°C
1452,3/10/2021 13:01:51.115,Temperature {NONE},67.0, °C,°C
1453,3/10/2021 13:01:52.116,Temperature {NONE},66.9, °C,°C
1454,3/10/2021 13:01:53.116,Temperature {NONE},66.8, °C,°C
1455,3/10/2021 13:01:54.118,Temperature {NONE},66.8, °C,°C
1456,3/10/2021 13:01:55.119,Temperature {NONE},66.8, °C,°C
1457,3/10/2021 13:01:56.120,Temperature {NONE},66.8, °C,°C
1458,3/10/2021 13:01:57.122,Temperature {NONE},66.7, °C,°C
1459,3/10/2021 13:01:58.122,Temperature {NONE},66.8, °C,°C
1460,3/10/2021 13:01:59.124,Temperature {NONE},66.9, °C,°C
1461,3/10/2021 13:02:00.125,Temperature {NONE},66.9, °C,°C
1462,3/10/2021 13:02:01.127,Temperature {NONE},66.9, °C,°C
1463,3/10/2021 13:02:02.129,Temperature {NONE},66.9, °C,°C
1464,3/10/2021 13:02:03.129,Temperature {NONE},66.8, °C,°C
1465,3/10/2021 13:02:04.130,Temperature {NONE},66.8, °C,°C
1466,3/10/2021 13:02:05.131,Temperature {NONE},66.8, °C,°C
1467,3/10/2021 13:02:06.133,Temperature {NONE},66.7, °C,°C
1468,3/10/2021 13:02:07.134,Temperature {NONE},66.7, °C,°C
1469,3/10/2021 13:02:08.134,Temperature {NONE},66.7, °C,°C
1470,3/10/2021 13:02:09.135,Temperature {NONE},66.7, °C,°C
1471,3/10/2021 13:02:10.136,Temperature {NONE},66.8, °C,°C
1472,3/10/2021 13:02:11.137,Temperature {NONE},66.8, °C,°C
1473,3/10/2021 13:02:12.139,Temperature {NONE},66.8, °C,°C
1474,3/10/2021 13:02:13.140,Temperature {NONE},66.7, °C,°C
1475,3/10/2021 13:02:14.141,Temperature {NONE},66.7, °C,°C
1476,3/10/2021 13:02:15.142,Temperature {NONE},66.7, °C,°C
1477,3/10/2021 13:02:16.143,Temperature {NONE},66.7, °C,°C
1478,3/10/2021 13:02:17.144,Temperature {NONE},66.7, °C,°C
1479,3/10/2021 13:02:18.145,Temperature {NONE},66.7, °C,°C
1480,3/10/2021 13:02:19.146,Temperature {NONE},66.8, °C,°C
1481,3/10/2021 13:02:20.147,Temperature {NONE},66.6, °C,°C
1482,3/10/2021 13:02:21.148,Temperature {NONE},66.6, °C,°C
1483,3/10/2021 13:02:22.150,Temperature {NONE},66.6, °C,°C
1484,3/10/2021 13:02:23.151,Temperature {NONE},66.6, °C,°C
1485,3/10/2021 13:02:24.151,Temperature {NONE},66.6, °C,°C
1486,3/10/2021 13:02:25.153,Temperature {NONE},66.7, °C,°C
1487,3/10/2021 13:02:26.154,Temperature {NONE},66.6, °C,°C
1488,3/10/2021 13:02:27.154,Temperature {NONE},66.6, °C,°C
1489,3/10/2021 13:02:28.155,Temperature {NONE},66.6, °C,°C
1490,3/10/2021 13:02:29.157,Temperature {NONE},66.6, °C,°C
1491,3/10/2021 13:02:30.159,Temperature {NONE},66.6, °C,°C
1492,3/10/2021 13:02:31.160,Temperature {NONE},66.6, °C,°C
1493,3/10/2021 13:02:32.160,Temperature {NONE},66.6, °C,°C
1494,3/10/2021 13:02:33.162,Temperature {NONE},66.6, °C,°C
1495,3/10/2021 13:02:34.163,Temperature {NONE},66.6, °C,°C
1496,3/10/2021 13:02:35.163,Temperature {NONE},66.6, °C,°C
1497,3/10/2021 13:02:36.165,Temperature {NONE},66.5, °C,°C
1498,3/10/2021 13:02:37.166,Temperature {NONE},66.5, °C,°C
1499,3/10/2021 13:02:38.166,Temperature {NONE},66.6, °C,°C
1500,3/10/2021 13:02:39.167,Temperature {NONE},66.6, °C,°C
1501,3/10/2021 13:02:40.169,Temperature {NONE},66.5, °C,°C
1502,3/10/2021 13:02:41.170,Temperature {NONE},66.5, °C,°C
1503,3/10/2021 13:02:42.170,Temperature {NONE},66.5, °C,°C
1504,3/10/2021 13:02:43.172,Temperature {NONE},66.6, °C,°C
1505,3/10/2021 13:02:44.172,Temperature {NONE},66.6, °C,°C
1506,3/10/2021 13:02:45.174,Temperature {NONE},66.6, °C,°C
1507,3/10/2021 13:02:46.174,Temperature {NONE},66.5, °C,°C
1508,3/10/2021 13:02:47.175,Temperature {NONE},66.5, °C,°C
1509,3/10/2021 13:02:48.177,Temperature {NONE},66.5, °C,°C
1510,3/10/2021 13:02:49.179,Temperature {NONE},66.6, °C,°C
1511,3/10/2021 13:02:50.179,Temperature {NONE},66.5, °C,°C
1512,3/10/2021 13:02:51.180,Temperature {NONE},66.5, °C,°C
1513,3/10/2021 13:02:52.180,Temperature {NONE},66.4, °C,°C
1514,3/10/2021 13:02:53.181,Temperature {NONE},66.4, °C,°C
1515,3/10/2021 13:02:54.182,Temperature {NONE},66.4, °C,°C
1516,3/10/2021 13:02:55.183,Temperature {NONE},66.3, °C,°C
1517,3/10/2021 13:02:56.184,Temperature {NONE},66.3, °C,°C
1518,3/10/2021 13:02:57.185,Temperature {NONE},66.3, °C,°C
1519,3/10/2021 13:02:58.186,Temperature {NONE},66.3, °C,°C
1520,3/10/2021 13:02:59.187,Temperature {NONE},66.3, °C,°C
1521,3/10/2021 13:03:00.189,Temperature {NONE},66.4, °C,°C
1522,3/10/2021 13:03:01.189,Temperature {NONE},66.4, °C,°C
1523,3/10/2021 13:03:02.190,Temperature {NONE},66.3, °C,°C
1524,3/10/2021 13:03:03.191,Temperature {NONE},66.3, °C,°C
1525,3/10/2021 13:03:04.192,Temperature {NONE},66.3, °C,°C
1526,3/10/2021 13:03:05.193,Temperature {NONE},66.4, °C,°C
1527,3/10/2021 13:03:06.194,Temperature {NONE},66.4, °C,°C
1528,3/10/2021 13:03:07.196,Temperature {NONE},66.4, °C,°C
1529,3/10/2021 13:03:08.197,Temperature {NONE},66.4, °C,°C
1530,3/10/2021 13:03:09.198,Temperature {NONE},66.4, °C,°C
1531,3/10/2021 13:03:10.199,Temperature {NONE},66.4, °C,°C
1532,3/10/2021 13:03:11.200,Temperature {NONE},66.3, °C,°C
1533,3/10/2021 13:03:12.201,Temperature {NONE},66.3, °C,°C
1534,3/10/2021 13:03:13.203,Temperature {NONE},66.3, °C,°C
1535,3/10/2021 13:03:14.203,Temperature {NONE},66.2, °C,°C
1536,3/10/2021 13:03:15.204,Temperature {NONE},66.2, °C,°C
1537,3/10/2021 13:03:16.205,Temperature {NONE},66.2, °C,°C
1538,3/10/2021 13:03:17.205,Temperature {NONE},66.2, °C,°C
1539,3/10/2021 13:03:18.206,Temperature {NONE},66.2, °C,°C
1540,3/10/2021 13:03:19.207,Temperature {NONE},66.2, °C,°C
1541,3/10/2021 13:03:20.208,Temperature {NONE},66.3, °C,°C
1542,3/10/2021 13:03:21.210,Temperature {NONE},66.3, °C,°C
1543,3/10/2021 13:03:22.210,Temperature {NONE},66.2, °C,°C
1544,3/10/2021 13:03:23.211,Temperature {NONE},66.1, °C,°C
1545,3/10/2021 13:03:24.212,Temperature {NONE},66.1, °C,°C
1546,3/10/2021 13:03:25.213,Temperature {NONE},66.2, °C,°C
1547,3/10/2021 13:03:26.214,Temperature {NONE},66.3, °C,°C
1548,3/10/2021 13:03:27.215,Temperature {NONE},66.3, °C,°C
1549,3/10/2021 13:03:28.216,Temperature {NONE},66.2, °C,°C
1550,3/10/2021 13:03:29.217,Temperature {NONE},66.2, °C,°C
1551,3/10/2021 13:03:30.218,Temperature {NONE},66.1, °C,°C
1552,3/10/2021 13:03:31.219,Temperature {NONE},66.1, °C,°C
1553,3/10/2021 13:03:32.219,Temperature {NONE},66.1, °C,°C
1554,3/10/2021 13:03:33.221,Temperature {NONE},66.1, °C,°C
1555,3/10/2021 13:03:34.222,Temperature {NONE},66.2, °C,°C
1556,3/10/2021 13:03:35.224,Temperature {NONE},66.2, °C,°C
1557,3/10/2021 13:03:36.225,Temperature {NONE},66.2, °C,°C
1558,3/10/2021 13:03:37.225,Temperature {NONE},66.2, °C,°C
1559,3/10/2021 13:03:38.226,Temperature {NONE},66.1, °C,°C
1560,3/10/2021 13:03:39.227,Temperature {NONE},66.0, °C,°C
1561,3/10/2021 13:03:40.227,Temperature {NONE},65.9, °C,°C
1562,3/10/2021 13:03:41.228,Temperature {NONE},65.9, °C,°C
1563,3/10/2021 13:03:42.229,Temperature {NONE},65.9, °C,°C
1564,3/10/2021 13:03:43.231,Temperature {NONE},65.9, °C,°C
1565,3/10/2021 13:03:44.231,Temperature {NONE},65.9, °C,°C
1566,3/10/2021 13:03:45.231,Temperature {NONE},65.9, °C,°C
1567,3/10/2021 13:03:46.233,Temperature {NONE},65.9, °C,°C
1568,3/10/2021 13:03:47.234,Temperature {NONE},65.9, °C,°C
1569,3/10/2021 13:03:48.235,Temperature {NONE},65.9, °C,°C
1570,3/10/2021 13:03:49.236,Temperature {NONE},65.9, °C,°C
1571,3/10/2021 13:03:50.237,Temperature {NONE},65.9, °C,°C
1572,3/10/2021 13:03:51.238,Temperature {NONE},65.9, °C,°C
1573,3/10/2021 13:03:52.240,Temperature {NONE},66.0, °C,°C
1574,3/10/2021 13:03:53.241,Temperature {NONE},66.0, °C,°C
1575,3/10/2021 13:03:54.242,Temperature {NONE},66.0, °C,°C
1576,3/10/2021 13:03:55.243,Temperature {NONE},66.0, °C,°C
1577,3/10/2021 13:03:56.244,Temperature {NONE},66.0, °C,°C
1578,3/10/2021 13:03:57.245,Temperature {NONE},65.9, °C,°C
1579,3/10/2021 13:03:58.246,Temperature {NONE},65.8, °C,°C
1580,3/10/2021 13:03:59.247,Temperature {NONE},65.8, °C,°C
1581,3/10/2021 13:04:00.247,Temperature {NONE},65.8, °C,°C
1582,3/10/2021 13:04:01.248,Temperature {NONE},65.9, °C,°C
1583,3/10/2021 13:04:02.249,Temperature {NONE},65.8, °C,°C
1584,3/10/2021 13:04:03.250,Temperature {NONE},65.8, °C,°C
1585,3/10/2021 13:04:04.251,Temperature {NONE},65.8, °C,°C
1586,3/10/2021 13:04:05.252,Temperature {NONE},65.8, °C,°C
1587,3/10/2021 13:04:06.253,Temperature {NONE},65.8, °C,°C
1588,3/10/2021 13:04:07.253,Temperature {NONE},65.9, °C,°C
1589,3/10/2021 13:04:08.254,Temperature {NONE},65.9, °C,°C
1590,3/10/2021 13:04:09.256,Temperature {NONE},65.9, °C,°C
1591,3/10/2021 13:04:10.256,Temperature {NONE},65.9, °C,°C
1592,3/10/2021 13:04:11.257,Temperature {NONE},65.9, °C,°C
1593,3/10/2021 13:04:12.258,Temperature {NONE},65.9, °C,°C
1594,3/10/2021 13:04:13.260,Temperature {NONE},65.9, °C,°C
1595,3/10/2021 13:04:14.261,Temperature {NONE},65.8, °C,°C
1596,3/10/2021 13:04:15.262,Temperature {NONE},65.8, °C,°C
1597,3/10/2021 13:04:16.263,Temperature {NONE},65.8, °C,°C
1598,3/10/2021 13:04:17.265,Temperature {NONE},65.8, °C,°C
1599,3/10/2021 13:04:18.266,Temperature {NONE},65.9, °C,°C
1600,3/10/2021 13:04:19.267,Temperature {NONE},65.9, °C,°C
1601,3/10/2021 13:04:20.268,Temperature {NONE},65.8, °C,°C
1602,3/10/2021 13:04:21.269,Temperature {NONE},65.8, °C,°C
1603,3/10/2021 13:04:22.271,Temperature {NONE},65.8, °C,°C
1604,3/10/2021 13:04:23.271,Temperature {NONE},65.8, °C,°C
1605,3/10/2021 13:04:24.272,Temperature {NONE},65.8, °C,°C
1606,3/10/2021 13:04:25.273,Temperature {NONE},65.8, °C,°C
1607,3/10/2021 13:04:26.274,Temperature {NONE},65.8, °C,°C
1608,3/10/2021 13:04:27.275,Temperature {NONE},65.8, °C,°C
1609,3/10/2021 13:04:28.275,Temperature {NONE},65.8, °C,°C
1610,3/10/2021 13:04:29.276,Temperature {NONE},65.7, °C,°C
1611,3/10/2021 13:04:30.276,Temperature {NONE},65.7, °C,°C
1612,3/10/2021 13:04:31.277,Temperature {NONE},65.6, °C,°C
1613,3/10/2021 13:04:32.279,Temperature {NONE},65.6, °C,°C
1614,3/10/2021 13:04:33.279,Temperature {NONE},65.6, °C,°C
1615,3/10/2021 13:04:34.279,Temperature {NONE},65.7, °C,°C
1616,3/10/2021 13:04:35.280,Temperature {NONE},65.7, °C,°C
1617,3/10/2021 13:04:36.281,Temperature {NONE},65.7, °C,°C
1618,3/10/2021 13:04:37.282,Temperature {NONE},65.6, °C,°C
1619,3/10/2021 13:04:38.283,Temperature {NONE},65.6, °C,°C
1620,3/10/2021 13:04:39.284,Temperature {NONE},65.6, °C,°C
1621,3/10/2021 13:04:40.284,Temperature {NONE},65.6, °C,°C
1622,3/10/2021 13:04:41.285,Temperature {NONE},65.6, °C,°C
1623,3/10/2021 13:04:42.285,Temperature {NONE},65.6, °C,°C
1624,3/10/2021 13:04:43.287,Temperature {NONE},65.6, °C,°C
1625,3/10/2021 13:04:44.288,Temperature {NONE},65.6, °C,°C
1626,3/10/2021 13:04:45.289,Temperature {NONE},65.6, °C,°C
1627,3/10/2021 13:04:46.289,Temperature {NONE},65.6, °C,°C
1628,3/10/2021 13:04:47.291,Temperature {NONE},65.6, °C,°C
1629,3/10/2021 13:04:48.292,Temperature {NONE},65.6, °C,°C
1630,3/10/2021 13:04:49.293,Temperature {NONE},65.6, °C,°C
1631,3/10/2021 13:04:50.294,Temperature {NONE},65.6, °C,°C
1632,3/10/2021 13:04:51.295,Temperature {NONE},65.6, °C,°C
1633,3/10/2021 13:04:52.295,Temperature {NONE},65.6, °C,°C
1634,3/10/2021 13:04:53.297,Temperature {NONE},65.5, °C,°C
1635,3/10/2021 13:04:54.298,Temperature {NONE},65.5, °C,°C
1636,3/10/2021 13:04:55.299,Temperature {NONE},65.5, °C,°C
1637,3/10/2021 13:04:56.299,Temperature {NONE},65.5, °C,°C
1638,3/10/2021 13:04:57.300,Temperature {NONE},65.6, °C,°C
1639,3/10/2021 13:04:58.301,Temperature {NONE},65.6, °C,°C
1640,3/10/2021 13:04:59.302,Temperature {NONE},65.5, °C,°C
1641,3/10/2021 13:05:00.302,Temperature {NONE},65.6, °C,°C
1642,3/10/2021 13:05:01.304,Temperature {NONE},65.6, °C,°C
1643,3/10/2021 13:05:02.305,Temperature {NONE},65.4, °C,°C
1644,3/10/2021 13:05:03.306,Temperature {NONE},65.4, °C,°C
1645,3/10/2021 13:05:04.307,Temperature {NONE},65.4, °C,°C
1646,3/10/2021 13:05:05.308,Temperature {NONE},65.4, °C,°C
1647,3/10/2021 13:05:06.309,Temperature {NONE},65.5, °C,°C
1648,3/10/2021 13:05:07.311,Temperature {NONE},65.5, °C,°C
1649,3/10/2021 13:05:08.312,Temperature {NONE},65.4, °C,°C
1650,3/10/2021 13:05:09.313,Temperature {NONE},65.4, °C,°C
1651,3/10/2021 13:05:10.314,Temperature {NONE},65.4, °C,°C
1652,3/10/2021 13:05:11.314,Temperature {NONE},65.4, °C,°C
1653,3/10/2021 13:05:12.316,Temperature {NONE},65.4, °C,°C
1654,3/10/2021 13:05:13.317,Temperature {NONE},65.3, °C,°C
1655,3/10/2021 13:05:14.318,Temperature {NONE},65.3, °C,°C
1656,3/10/2021 13:05:15.319,Temperature {NONE},65.3, °C,°C
1657,3/10/2021 13:05:16.320,Temperature {NONE},65.4, °C,°C
1658,3/10/2021 13:05:17.321,Temperature {NONE},65.4, °C,°C
1659,3/10/2021 13:05:18.322,Temperature {NONE},65.4, °C,°C
1660,3/10/2021 13:05:19.323,Temperature {NONE},65.4, °C,°C
1661,3/10/2021 13:05:20.324,Temperature {NONE},65.4, °C,°C
1662,3/10/2021 13:05:21.325,Temperature {NONE},65.4, °C,°C
1663,3/10/2021 13:05:22.326,Temperature {NONE},65.4, °C,°C
1664,3/10/2021 13:05:23.328,Temperature {NONE},65.4, °C,°C
1665,3/10/2021 13:05:24.328,Temperature {NONE},65.4, °C,°C
1666,3/10/2021 13:05:25.330,Temperature {NONE},65.3, °C,°C
1667,3/10/2021 13:05:26.331,Temperature {NONE},65.2, °C,°C
1668,3/10/2021 13:05:27.331,Temperature {NONE},65.2, °C,°C
1669,3/10/2021 13:05:28.333,Temperature {NONE},65.2, °C,°C
1670,3/10/2021 13:05:29.334,Temperature {NONE},65.2, °C,°C
1671,3/10/2021 13:05:30.335,Temperature {NONE},65.2, °C,°C
1672,3/10/2021 13:05:31.337,Temperature {NONE},65.2, °C,°C
1673,3/10/2021 13:05:32.337,Temperature {NONE},65.2, °C,°C
1674,3/10/2021 13:05:33.338,Temperature {NONE},65.2, °C,°C
1675,3/10/2021 13:05:34.339,Temperature {NONE},65.3, °C,°C
1676,3/10/2021 13:05:35.340,Temperature {NONE},65.3, °C,°C
1677,3/10/2021 13:05:36.341,Temperature {NONE},65.3, °C,°C
1678,3/10/2021 13:05:37.342,Temperature {NONE},65.3, °C,°C
1679,3/10/2021 13:05:38.343,Temperature {NONE},65.4, °C,°C
1680,3/10/2021 13:05:39.344,Temperature {NONE},65.4, °C,°C
1681,3/10/2021 13:05:40.345,Temperature {NONE},65.3, °C,°C
1682,3/10/2021 13:05:41.346,Temperature {NONE},65.2, °C,°C
1683,3/10/2021 13:05:42.347,Temperature {NONE},65.2, °C,°C
1684,3/10/2021 13:05:43.348,Temperature {NONE},65.2, °C,°C
1685,3/10/2021 13:05:44.348,Temperature {NONE},65.2, °C,°C
1686,3/10/2021 13:05:45.349,Temperature {NONE},65.2, °C,°C
1687,3/10/2021 13:05:46.349,Temperature {NONE},65.2, °C,°C
1688,3/10/2021 13:05:47.351,Temperature {NONE},65.2, °C,°C
1689,3/10/2021 13:05:48.352,Temperature {NONE},65.2, °C,°C
1690,3/10/2021 13:05:49.353,Temperature {NONE},65.2, °C,°C
1691,3/10/2021 13:05:50.354,Temperature {NONE},65.1, °C,°C
1692,3/10/2021 13:05:51.356,Temperature {NONE},65.0, °C,°C
1693,3/10/2021 13:05:52.356,Temperature {NONE},65.0, °C,°C
1694,3/10/2021 13:05:53.358,Temperature {NONE},65.0, °C,°C
1695,3/10/2021 13:05:54.359,Temperature {NONE},65.0, °C,°C
1696,3/10/2021 13:05:55.359,Temperature {NONE},65.0, °C,°C
1697,3/10/2021 13:05:56.360,Temperature {NONE},65.0, °C,°C
1698,3/10/2021 13:05:57.361,Temperature {NONE},65.1, °C,°C
1699,3/10/2021 13:05:58.363,Temperature {NONE},65.0, °C,°C
1700,3/10/2021 13:05:59.364,Temperature {NONE},65.0, °C,°C
1701,3/10/2021 13:06:00.365,Temperature {NONE},65.0, °C,°C
1702,3/10/2021 13:06:01.366,Temperature {NONE},65.0, °C,°C
1703,3/10/2021 13:06:02.367,Temperature {NONE},65.0, °C,°C
1704,3/10/2021 13:06:03.367,Temperature {NONE},64.9, °C,°C
1705,3/10/2021 13:06:04.368,Temperature {NONE},64.9, °C,°C
1706,3/10/2021 13:06:05.369,Temperature {NONE},64.9, °C,°C
1707,3/10/2021 13:06:06.371,Temperature {NONE},65.0, °C,°C
1708,3/10/2021 13:06:07.372,Temperature {NONE},65.0, °C,°C
1709,3/10/2021 13:06:08.373,Temperature {NONE},65.0, °C,°C
1710,3/10/2021 13:06:09.375,Temperature {NONE},64.9, °C,°C
1711,3/10/2021 13:06:10.376,Temperature {NONE},65.0, °C,°C
1712,3/10/2021 13:06:11.377,Temperature {NONE},65.0, °C,°C
1713,3/10/2021 13:06:12.378,Temperature {NONE},65.0, °C,°C
1714,3/10/2021 13:06:13.379,Temperature {NONE},65.0, °C,°C
1715,3/10/2021 13:06:14.380,Temperature {NONE},65.0, °C,°C
1716,3/10/2021 13:06:15.381,Temperature {NONE},65.0, °C,°C
1717,3/10/2021 13:06:16.381,Temperature {NONE},65.0, °C,°C
1718,3/10/2021 13:06:17.382,Temperature {NONE},65.0, °C,°C
1719,3/10/2021 13:06:18.384,Temperature {NONE},65.0, °C,°C
1720,3/10/2021 13:06:19.385,Temperature {NONE},65.0, °C,°C
1721,3/10/2021 13:06:20.387,Temperature {NONE},64.9, °C,°C
1722,3/10/2021 13:06:21.387,Temperature {NONE},64.9, °C,°C
1723,3/10/2021 13:06:22.389,Temperature {NONE},64.9, °C,°C
1724,3/10/2021 13:06:23.390,Temperature {NONE},64.9, °C,°C
1725,3/10/2021 13:06:24.390,Temperature {NONE},64.9, °C,°C
1726,3/10/2021 13:06:25.391,Temperature {NONE},65.0, °C,°C
1727,3/10/2021 13:06:26.392,Temperature {NONE},65.0, °C,°C
1728,3/10/2021 13:06:27.393,Temperature {NONE},65.0, °C,°C
1729,3/10/2021 13:06:28.394,Temperature {NONE},65.0, °C,°C
1730,3/10/2021 13:06:29.395,Temperature {NONE},64.9, °C,°C
1731,3/10/2021 13:06:30.396,Temperature {NONE},64.9, °C,°C
1732,3/10/2021 13:06:31.396,Temperature {NONE},64.9, °C,°C
1733,3/10/2021 13:06:32.397,Temperature {NONE},64.9, °C,°C
1734,3/10/2021 13:06:33.398,Temperature {NONE},64.9, °C,°C
1735,3/10/2021 13:06:34.399,Temperature {NONE},64.8, °C,°C
1736,3/10/2021 13:06:35.400,Temperature {NONE},64.8, °C,°C
